gold_id,image_id,source,task_native,1_maturity_evaluation,2_foliar_disease,3_trunk_disease,4_crown_disease,5_petiole
G001,635_jpg.rf.a059885df2bce4a69f2999e926631bc3,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G002,107_jpg.rf.5f9841f56e824f142c0f3f483285b93c,"coconut-veirf-v5/train",1_maturity_evaluation,0,0,0,0,0
G003,40_jpg.rf.76a4805d480e15118c23b8d12afd4406,"coconut-veirf-v5/train",1_maturity_evaluation,1,1,0,0,1
G004,47_jpg.rf.876ae0012f9fcdcf1b35cc5e6b89c905,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,1
G005,631_jpg.rf.37becedc41eec2729f5118284c33e49d,"coconut-veirf-v5/train",1_maturity_evaluation,0,0,1,0,0
G006,613_jpg.rf.dbf55b4e2bd013c6413c709ce72a9419,"coconut-veirf-v5/test",1_maturity_evaluation,1,0,0,0,0
G007,524_jpg.rf.53f036f4af2f03761aa073c575bde87a,"coconut-veirf-v5/valid",1_maturity_evaluation,1,0,0,0,0
G008,135_jpg.rf.b210e4eec9664f6abdceb849b997b708,"coconut-veirf-v5/train",1_maturity_evaluation,1,1,0,0,0
G009,642_jpg.rf.4fd26fe482783d44c5d6491712f0f9ab,"coconut-veirf-v5/train",1_maturity_evaluation,1,1,0,0,1
G010,676_jpg.rf.adf41f42fbd37e45830b822a54e7031b,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,1
G011,526_jpg.rf.642462b3b16c75fc0576416d96795c27,"coconut-veirf-v5/valid",1_maturity_evaluation,1,0,0,0,0
G012,689_jpg.rf.171c98bb07051ad9521ec227756883d1,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G013,049_jpeg.rf.1b21d2bcad75110f76a7d8ea4c143ee9,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G014,70_jpg.rf.352f4779d1fdedaf856cc42d9e6c8ffd,"coconut-veirf-v5/valid",1_maturity_evaluation,1,0,0,0,0
G015,89_jpg.rf.0ef84b970f393e9a3ac7d374e4659da2,"coconut-veirf-v5/valid",1_maturity_evaluation,1,0,0,0,0
G016,748_jpg.rf.682425bc996dd9267e812025f251e96c,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,1
G017,053_jpg.rf.0a5abe5fbf66f06c41dcb869cb43248b,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G018,601_jpg.rf.3e4c772567ccc26f3eb77b04cf1a8c5f,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,1,0,1
G019,111_jpg.rf.153d0f62cd94c6c3bf44b4d7bc967278,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G020,062_jpg.rf.ac95db25f27ea09ca0c30238c43e8095,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G021,657_jpg.rf.0d9711505e045d97085937a3dd034d02,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G022,503_jpg.rf.9cb32c1b22f1a465a62cc09d8d76d701,"coconut-veirf-v5/test",1_maturity_evaluation,1,0,0,0,0
G023,637_jpg.rf.314812f2336cd2096a42f2e2ed60c2b6,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G024,090_jpg.rf.746355ed00064913ca06f842f30c30ca,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G025,02_jpg.rf.1a1d0ce506e8a23fe8f78a880e1ba3e5,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G026,081_jpg.rf.449d3c0358eaf9bec929a92fbd41a970,"coconut-veirf-v5/train",1_maturity_evaluation,1,1,0,0,0
G027,534_jpg.rf.3662e186d5a4c86278f2554c5fe5d0f8,"coconut-veirf-v5/test",1_maturity_evaluation,1,0,0,0,0
G028,0100_jpg.rf.0d343bad8dab2daf913d921a776694e7,"coconut-veirf-v5/valid",1_maturity_evaluation,1,0,0,0,0
G029,756_jpg.rf.6310ca62273111c54bd451111b485f7d,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G030,714_jpg.rf.cd5ae7fc3335a8659e318d3b0612ef5e,"coconut-veirf-v5/valid",1_maturity_evaluation,1,1,0,0,0
G031,90_jpg.rf.1a6838e653005182b1cfc4bc1e7deafe,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G032,639_jpg.rf.b3f264e182e2e87ad17be685e8f5b430,"coconut-veirf-v5/valid",1_maturity_evaluation,1,0,0,0,0
G033,63_jpg.rf.80a6fb58202f20939c4dc429ccf137b9,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G034,55_jpeg.rf.1b2dd7bacf946b5ba085df8a1d4e7869,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G035,065_jpg.rf.74d068653c1483b865ce3ca36bf93714,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G036,046_jpeg.rf.18fc9e843c6d9d7ff00f26f088357550,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G037,736_jpg.rf.21603b63999ebce50e1372f53d920366,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G038,646_jpg.rf.163c6b3086ff4905a600c6af037760d1,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,1
G039,07_jpg.rf.0f23d3d4c678de04e163a34aee36da16,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G040,629_jpg.rf.20d7d60339bcdfccb53f55ff730007a2,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G041,85_jpg.rf.8d2d5ea75e6701843381e74b682a9b28,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G042,673_jpg.rf.25a7badcde431c1470c6cd0d0a7e67fa,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,1
G043,616_jpg.rf.4035ce0e3872d6d3fd9f57b9c8612655,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G044,88_jpg.rf.08ec1f6f2f0d6170b4fc018f72a12543,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G045,04_jpg.rf.1ac4fcee4634cad16b6d444f2ec38d3c,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G046,713_jpg.rf.5b815bd6bdf3b29074453947269bb20f,"coconut-veirf-v5/test",1_maturity_evaluation,1,0,0,0,1
G047,626_jpg.rf.64e1c5346ff31fccb9e639c6fced54a6,"coconut-veirf-v5/valid",1_maturity_evaluation,1,0,0,0,0
G048,11_jpg.rf.4abe98a1e65a34a5611aec3a6deb1a1d,"coconut-veirf-v5/test",1_maturity_evaluation,1,0,0,0,0
G049,721_jpg.rf.4d0734c31e6de0559b311e9f3482334f,"coconut-veirf-v5/test",1_maturity_evaluation,1,0,1,0,1
G050,26_jpg.rf.b4ad46d76046277a59923eea1ca19add,"coconut-veirf-v5/valid",1_maturity_evaluation,1,0,0,0,0
G051,51_jpg.rf.5268b43c8550382ff1a17187c5e610d7,"coconut-veirf-v5/test",1_maturity_evaluation,1,0,0,0,0
G052,08_jpg.rf.0286ef27b25b2857d4ffab88bb5ffaad,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G053,732_jpg.rf.30cffc07083b4ac771c53383970bf763,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,0
G054,055_jpeg.rf.48b25d091dadf1161944a77b019a0985,"coconut-veirf-v5/valid",1_maturity_evaluation,1,0,0,0,0
G055,612_jpg.rf.3637976aeb727ff87995e468c1ee4dcf,"coconut-veirf-v5/train",1_maturity_evaluation,1,0,0,0,1
