gold_id,image_id,source,task_native,path
G001,635_jpg.rf.a059885df2bce4a69f2999e926631bc3,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/635_jpg.rf.a059885df2bce4a69f2999e926631bc3.jpg
G002,107_jpg.rf.5f9841f56e824f142c0f3f483285b93c,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/107_jpg.rf.5f9841f56e824f142c0f3f483285b93c.jpg
G003,40_jpg.rf.76a4805d480e15118c23b8d12afd4406,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/40_jpg.rf.76a4805d480e15118c23b8d12afd4406.jpg
G004,47_jpg.rf.876ae0012f9fcdcf1b35cc5e6b89c905,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/47_jpg.rf.876ae0012f9fcdcf1b35cc5e6b89c905.jpg
G005,631_jpg.rf.37becedc41eec2729f5118284c33e49d,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/631_jpg.rf.37becedc41eec2729f5118284c33e49d.jpg
G006,613_jpg.rf.dbf55b4e2bd013c6413c709ce72a9419,coconut-veirf-v5/test,1_maturity_evaluation,Dataset/coconut-veirf-v5/test/images/613_jpg.rf.dbf55b4e2bd013c6413c709ce72a9419.jpg
G007,524_jpg.rf.53f036f4af2f03761aa073c575bde87a,coconut-veirf-v5/valid,1_maturity_evaluation,Dataset/coconut-veirf-v5/valid/images/524_jpg.rf.53f036f4af2f03761aa073c575bde87a.jpg
G008,135_jpg.rf.b210e4eec9664f6abdceb849b997b708,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/135_jpg.rf.b210e4eec9664f6abdceb849b997b708.jpg
G009,642_jpg.rf.4fd26fe482783d44c5d6491712f0f9ab,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/642_jpg.rf.4fd26fe482783d44c5d6491712f0f9ab.jpg
G010,676_jpg.rf.adf41f42fbd37e45830b822a54e7031b,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/676_jpg.rf.adf41f42fbd37e45830b822a54e7031b.jpg
G011,526_jpg.rf.642462b3b16c75fc0576416d96795c27,coconut-veirf-v5/valid,1_maturity_evaluation,Dataset/coconut-veirf-v5/valid/images/526_jpg.rf.642462b3b16c75fc0576416d96795c27.jpg
G012,689_jpg.rf.171c98bb07051ad9521ec227756883d1,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/689_jpg.rf.171c98bb07051ad9521ec227756883d1.jpg
G013,049_jpeg.rf.1b21d2bcad75110f76a7d8ea4c143ee9,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/049_jpeg.rf.1b21d2bcad75110f76a7d8ea4c143ee9.jpg
G014,70_jpg.rf.352f4779d1fdedaf856cc42d9e6c8ffd,coconut-veirf-v5/valid,1_maturity_evaluation,Dataset/coconut-veirf-v5/valid/images/70_jpg.rf.352f4779d1fdedaf856cc42d9e6c8ffd.jpg
G015,89_jpg.rf.0ef84b970f393e9a3ac7d374e4659da2,coconut-veirf-v5/valid,1_maturity_evaluation,Dataset/coconut-veirf-v5/valid/images/89_jpg.rf.0ef84b970f393e9a3ac7d374e4659da2.jpg
