image_id,task,n_votes,n_pos,n_neg,score,prob_usable,label
0100_jpg.rf.0d343bad8dab2daf913d921a776694e7,1_maturity_evaluation,1,1,0,1.0,0.7311,1
010_jpg.rf.0bceb2935b70017af4f5c8f966af09ab,1_maturity_evaluation,1,1,0,1.0,0.7311,1
010_jpg.rf.438e09acddb8e73d2bbce4e8dbe080a3,1_maturity_evaluation,1,1,0,1.0,0.7311,1
010_jpg.rf.bc166106b70d5c7392f13edb897b33fe,1_maturity_evaluation,1,1,0,1.0,0.7311,1
011_jpg.rf.6125db4869932d2246e1c63cdb4d1680,1_maturity_evaluation,1,1,0,1.0,0.7311,1
015_jpg.rf.0696ae9f97d9a7e8f642fd504e1dfccc,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
015_jpg.rf.cfbcf01b383875e14bf9c7bb8921fe08,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
015_jpg.rf.f0fe9af2487360f5ade10db38a21e87a,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
016_jpg.rf.1c75e3c14cf0b3190250b33769414d95,1_maturity_evaluation,1,1,0,1.0,0.7311,1
016_jpg.rf.c307f930336c424f57b36d40e9eb758a,1_maturity_evaluation,1,1,0,1.0,0.7311,1
016_jpg.rf.e7e5eb3b47416c3c4ee2fb3aafe53aca,1_maturity_evaluation,1,1,0,1.0,0.7311,1
017_jpg.rf.56ee43ce0abdf695f5f4be4def2c97a1,1_maturity_evaluation,1,1,0,1.0,0.7311,1
017_jpg.rf.744a099317cd7c34727ec5f74e028f51,1_maturity_evaluation,1,1,0,1.0,0.7311,1
017_jpg.rf.d9a59ee6444d4cfbd3301079faa0dcc7,1_maturity_evaluation,1,1,0,1.0,0.7311,1
018_jpg.rf.e836998369d489b08c6a1f59942b130c,1_maturity_evaluation,1,1,0,1.0,0.7311,1
019_jpg.rf.d968e76ac51779ee570513b509510b57,1_maturity_evaluation,1,1,0,1.0,0.7311,1
01_jpg.rf.9a2fdd1fbadf3f0f94e9a35bf7f28f01,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
01_jpg.rf.ece606812fdb5842eb935687c6322fd3,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
01_jpg.rf.fc88eede4194a104bda7f5c428b7c9b7,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
020_jpg.rf.934aab5db8374bbe99ef6fbc9604ff3d,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
020_jpg.rf.d679d9ac81c79060983caa8ad7e149c2,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
020_jpg.rf.f5f0998289c04ba709de12e047444934,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
021_jpg.rf.24120bf2c217fad7ac3bcd9faaa6df6e,1_maturity_evaluation,1,1,0,1.0,0.7311,1
021_jpg.rf.baa2292357e865726965f74cdaf06646,1_maturity_evaluation,1,1,0,1.0,0.7311,1
021_jpg.rf.da84d22087580791cf012fb2bf44cee3,1_maturity_evaluation,1,1,0,1.0,0.7311,1
022_jpg.rf.67395f06ace3af2d3384695dbf2011cb,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
024_jpg.rf.3810930e4b3ba803033286768a43f116,1_maturity_evaluation,1,1,0,1.0,0.7311,1
024_jpg.rf.986e5416dcbe8f00c94be8fa6665f743,1_maturity_evaluation,1,1,0,1.0,0.7311,1
024_jpg.rf.bbb801416c7019f99906c3abac6ceef4,1_maturity_evaluation,1,1,0,1.0,0.7311,1
025_jpg.rf.78b5ee68f7bd9dbc2da3c7294ad61e09,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
025_jpg.rf.b5c41140981f89faa1897dab5da34de1,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
025_jpg.rf.b99075fcfa02fb6351e9b101110571ab,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
026_jpg.rf.7471e889893fd7f8393880e1264636fc,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
027_jpg.rf.6b8411c2832a8ea72e4a1946ffc965da,1_maturity_evaluation,1,1,0,1.0,0.7311,1
028_jpg.rf.39a688f8e971db9974b4cf1fac321bbe,1_maturity_evaluation,1,1,0,1.0,0.7311,1
028_jpg.rf.81287a6187ed2da94ead99de11882007,1_maturity_evaluation,1,1,0,1.0,0.7311,1
028_jpg.rf.963050a8c09b0548ba61cc53d5b7d3fd,1_maturity_evaluation,1,1,0,1.0,0.7311,1
029_jpg.rf.77dcd828a97a397603679f93015d1bf6,1_maturity_evaluation,1,1,0,1.0,0.7311,1
02_jpg.rf.1a1d0ce506e8a23fe8f78a880e1ba3e5,1_maturity_evaluation,1,1,0,1.0,0.7311,1
02_jpg.rf.51b096275a95594ba96ae00aed305efc,1_maturity_evaluation,1,1,0,1.0,0.7311,1
02_jpg.rf.8eeeccd907183fe6760b5da041c6b9eb,1_maturity_evaluation,1,1,0,1.0,0.7311,1
030_jpg.rf.bf8b9b31dcadda699117ea362bf6fb90,1_maturity_evaluation,1,1,0,1.0,0.7311,1
031_jpg.rf.b997d31b04ef4f5f1a1d9d3c3ca00fc9,1_maturity_evaluation,1,1,0,1.0,0.7311,1
032_jpg.rf.08e6c4d8094a14f7de1eaf05221bedb6,1_maturity_evaluation,1,1,0,1.0,0.7311,1
032_jpg.rf.17d881d4910f520eef369c159d9b24d6,1_maturity_evaluation,1,1,0,1.0,0.7311,1
032_jpg.rf.195451b49cc0e25dbdfb1313f41cbbc5,1_maturity_evaluation,1,1,0,1.0,0.7311,1
034_jpg.rf.c78733b5dbd647633326fcebc4a368ac,1_maturity_evaluation,1,1,0,1.0,0.7311,1
035_jpg.rf.f84d40bcb90cc69e2524622ad44d3de9,1_maturity_evaluation,1,1,0,1.0,0.7311,1
036_jpg.rf.3d9aea88a3641fc29768759cdde273b6,1_maturity_evaluation,1,1,0,1.0,0.7311,1
036_jpg.rf.addccd40c1011b4098a5fe7d2a6f2f09,1_maturity_evaluation,1,1,0,1.0,0.7311,1
036_jpg.rf.b9eb4de1a97ed732ef49ac14cde556c0,1_maturity_evaluation,1,1,0,1.0,0.7311,1
037_jpg.rf.a977f2a6befee00d208e5f50912fa5e0,1_maturity_evaluation,1,1,0,1.0,0.7311,1
037_jpg.rf.b4560d431e830369954ac7096dcc35c7,1_maturity_evaluation,1,1,0,1.0,0.7311,1
037_jpg.rf.c04a7d706c0e4af0ed71c71ad654bc9b,1_maturity_evaluation,1,1,0,1.0,0.7311,1
038_jpg.rf.22420cdd82d6095377a8d49061d5c2fb,1_maturity_evaluation,1,1,0,1.0,0.7311,1
038_jpg.rf.7ae76cea4fb75e467a5d77be974185da,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
038_jpg.rf.9a2970f3b5c64ecba3f0085562bf2176,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
039_jpg.rf.6a7b757abbc330fc2f4e67bf635406a6,1_maturity_evaluation,1,1,0,1.0,0.7311,1
03_jpg.rf.23f37c64ff4097b8bef807d4be6dedd3,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
040_jpg.rf.2f8c9048987fc3d8cd06655c40d85a42,1_maturity_evaluation,1,1,0,1.0,0.7311,1
040_jpg.rf.4205c16498532d3986370e02b397f7ce,1_maturity_evaluation,1,1,0,1.0,0.7311,1
040_jpg.rf.e6ad0cba25d881211fcc6dee82fd8020,1_maturity_evaluation,1,1,0,1.0,0.7311,1
042_jpg.rf.13dba456d91a32c1f2ca946cc4800402,1_maturity_evaluation,1,1,0,1.0,0.7311,1
042_jpg.rf.7be3067652086ef8107c12d557d88f01,1_maturity_evaluation,1,1,0,1.0,0.7311,1
042_jpg.rf.b90fe9fc9b407529fa2906ee8e21ccce,1_maturity_evaluation,1,1,0,1.0,0.7311,1
043_jpg.rf.0b44b045bdbb720a01b3cc7521706cf2,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
043_jpg.rf.29c37d9480db579d5e80f5a4c61fae10,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
043_jpg.rf.3b879b2ec8537d93f103284ae2ca3a2b,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
044_jpg.rf.1374fd2fda0cd9e90106598dbab2c6bc,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
044_jpg.rf.4364c01270f0e063fe0b9c4a071e9788,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
044_jpg.rf.7e2652e821ba3b126e629a746afa70c6,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
046_jpeg.rf.18fc9e843c6d9d7ff00f26f088357550,1_maturity_evaluation,1,1,0,1.0,0.7311,1
046_jpeg.rf.3e69f3b73c97628d9b885dc6ba482467,1_maturity_evaluation,1,1,0,1.0,0.7311,1
046_jpeg.rf.b90a8166c7b1013287150fa4180698f4,1_maturity_evaluation,1,1,0,1.0,0.7311,1
047_jpg.rf.87a10694450eafa409539feaa730fe93,1_maturity_evaluation,1,1,0,1.0,0.7311,1
049_jpeg.rf.1b21d2bcad75110f76a7d8ea4c143ee9,1_maturity_evaluation,1,1,0,1.0,0.7311,1
049_jpeg.rf.5371ec437347af51f1234fc00f0ccc2f,1_maturity_evaluation,1,1,0,1.0,0.7311,1
049_jpeg.rf.f36ed434b28d85ea187db191fef0f389,1_maturity_evaluation,1,1,0,1.0,0.7311,1
04_jpg.rf.1ac4fcee4634cad16b6d444f2ec38d3c,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
04_jpg.rf.7c237959701cf3e84050663258debb2c,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
04_jpg.rf.992d68ec12b365da4a32226a234dd2e7,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
052_jpg.rf.0caaf596899b3f445159fcea15f9f7ec,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
052_jpg.rf.20c014a16b187062d1dece3f07b65293,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
052_jpg.rf.d465a003604b928fd45ca6e00b4c36d4,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
