epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.9009,1.14966,2.71654,1.56751,0.40496,0.23811,0.28939,0.15954,1.27347,3.31412,2.05458,0.00046641,0.00046641,0.00046641
2,159.181,1.08898,2.0833,1.48684,0.41696,0.48108,0.42043,0.18867,1.61269,2.96179,2.37216,0.000931077,0.000931077,0.000931077
3,234.733,1.10422,1.93497,1.48709,0.46292,0.50686,0.44726,0.25303,1.3752,2.70044,1.99137,0.00138395,0.00138395,0.00138395
4,310.341,1.12539,1.85575,1.50268,0.3337,0.51571,0.45659,0.24532,1.6191,2.40936,2.26611,0.00137595,0.00137595,0.00137595
5,385.52,1.1248,1.70353,1.48628,0.50893,0.41595,0.43274,0.23235,1.50194,2.42751,2.13855,0.00135826,0.00135826,0.00135826
6,461.317,1.06552,1.59991,1.44486,0.58583,0.50355,0.54607,0.30848,1.46049,2.13173,1.98719,0.00134058,0.00134058,0.00134058
7,537.101,1.04368,1.49861,1.43095,0.59555,0.48624,0.55966,0.33854,1.38327,2.12076,1.96757,0.0013229,0.0013229,0.0013229
8,614.094,0.99166,1.44097,1.38455,0.63126,0.42683,0.49674,0.29299,1.43975,1.86795,1.89522,0.00130521,0.00130521,0.00130521
9,689.753,1.009,1.3937,1.39552,0.55997,0.65698,0.61418,0.3976,1.28197,1.91312,1.86405,0.00128753,0.00128753,0.00128753
10,764.587,0.97115,1.33534,1.36627,0.70217,0.46776,0.40466,0.22906,1.26758,2.11316,1.7333,0.00126985,0.00126985,0.00126985
11,839.875,0.97004,1.32642,1.36529,0.52167,0.52859,0.49137,0.27008,1.27823,2.01256,1.82786,0.00125216,0.00125216,0.00125216
12,914.696,0.90934,1.24373,1.31664,0.57438,0.70321,0.63676,0.37194,1.23643,1.52974,1.777,0.00123448,0.00123448,0.00123448
