image_id,source_folder,path,quality_pass,gate_reason,lap_var,mean_bright,min_dim,lf7_1_maturity_evaluation,1_maturity_evaluation_conf,1_maturity_evaluation_reason,lf7_2_foliar_disease,2_foliar_disease_conf,2_foliar_disease_reason,lf7_3_trunk_disease,3_trunk_disease_conf,3_trunk_disease_reason,lf7_4_crown_disease,4_crown_disease_conf,4_crown_disease_reason,lf7_5_petiole,5_petiole_conf,5_petiole_reason
GrayLeafSpot001,Gray Leaf Spot,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot001.jpg,True,,348.4,93.7,768,0,0.02,"Không có trái dừa nào xuất hiện trong ảnh, chỉ có lá.",1,0.95,"Ảnh cận cảnh rõ nét các lá chét với các đốm đen, vàng úa và cháy mép lá, đủ để đánh giá tình trạng bệnh trên lá.",0,0.02,"Không thấy thân hoặc gốc cây, chỉ thấy lá dừa.",0,0.03,"Không thấy đỉnh đọt/ngọn cây, chỉ có các lá chét cận cảnh.",0,0.1,"Ảnh chỉ cho thấy các lá chét (phiến lá) chi tiết, không thấy rõ cuống lá chính hay tư thế của tàu lá."
GrayLeafSpot1151,Gray Leaf Spot,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1151.jpg,True,,1332.5,122.7,768,0,0.02,"Không có trái dừa nào trong ảnh, chỉ có lá.",1,0.95,"Phiến lá và tàu lá dừa hiện rõ nét với các đốm bệnh, cháy lá, đổi màu rõ ràng, đủ để đánh giá tình trạng bệnh lá.",0,0.02,Không thấy thân/gốc cây dừa trong ảnh.,0,0.03,"Không thấy đỉnh đọt/ngọn cây, chỉ thấy các tàu lá riêng lẻ.",0,0.1,"Ảnh chỉ tập trung vào phiến lá và sống lá mang lá chét, không thấy rõ đoạn cuống lá (petiole) nối với thân để đánh giá độ rủ."
GrayLeafSpot1394,Gray Leaf Spot,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1394.jpg,True,,1575.9,121.8,768,0,0.05,"Không có trái dừa nào trong ảnh, chỉ có lá và thân cây khác (không phải dừa).",1,0.85,"Phiến lá và lá chét dừa hiện rõ, có thể thấy các vết bạc/loang màu và tổn thương trên mặt lá để đánh giá.",0,0.1,"Thân cây trong ảnh không phải là thân dừa mà là một cây khác, không thể dùng để đánh giá bệnh thân dừa.",0,0.05,Không thấy đỉnh đọt/ngọn của cây dừa trong ảnh.,1,0.75,"Có thể thấy đoạn sống lá/cuống lá dừa kéo dài theo chiều ảnh, đủ để nhận định tư thế và độ rủ."
GrayLeafSpot1637,Gray Leaf Spot,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1637.jpg,True,,2218.8,130.8,768,0,0.02,"Không thấy trái dừa nào trong ảnh, chỉ có lá cây con.",1,0.95,"Ảnh cận cảnh rõ nét các phiến lá với đốm nâu, cháy mép và đổi màu, đủ để đánh giá tình trạng bệnh trên lá.",0,0.05,"Không thấy thân hoặc gốc cây, chỉ thấy lá non và đất.",0,0.1,"Không thấy đỉnh đọt/ngọn cây rõ ràng, chỉ là các lá riêng lẻ của cây con, không nhìn thấy phần đọt tổng thể.",0,0.15,"Không thấy rõ cuống lá (đoạn thân giữa của tàu lá), ảnh tập trung vào phiến lá không cho thấy cuống lá hoặc độ rủ của nó."
GrayLeafSpot188,Gray Leaf Spot,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot188.jpg,True,,431.1,123.3,768,0,0.05,"Không có trái dừa nào xuất hiện trong ảnh, chỉ thấy các tàu lá và cuống lá.",0,0.2,"Ảnh chỉ chụp các sống lá/cuống dài, không thấy rõ phiến lá (lá chét) để đánh giá đốm/cháy/thối.",0,0.15,"Thân cây chỉ thấy mờ ở xa phía sau, không đủ rõ để đánh giá bề mặt thân.",0,0.1,"Không thấy đỉnh đọt/ngọn cây, ảnh chỉ là các tàu lá cận cảnh.",1,0.75,"Các cuống lá dài, trơn hiện rõ chiếm toàn khung hình, có thể quan sát tư thế/độ vươn của chúng để đánh giá."
GrayLeafSpot2122,Gray Leaf Spot,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot2122.jpg,True,,3760.2,118.4,768,0,0.02,"Không có trái dừa trong ảnh, chỉ có lá và mặt đất.",1,0.95,"Phiến lá hiện rõ nét với các đốm nâu, vệt vàng và mảng cháy khô, đủ chi tiết để đánh giá bệnh trên lá.",0,0.15,"Chỉ thấy một phần nhỏ của bẹ/thân cây non phía trên bên phải bị che khuất nhiều, không đủ rõ để đánh giá thân.",0,0.05,"Không thấy đỉnh đọt/ngọn cây trong ảnh, chỉ có lá đơn lẻ và cây con nhỏ.",0,0.2,"Không thấy rõ đoạn cuống lá trơn giữa bẹ và sống lá, chủ yếu là phiến lá và cây con nhỏ chưa phát triển cuống rõ."
GrayLeafSpot466,Gray Leaf Spot,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot466.jpg,True,,464.8,118.0,768,0,0.02,"Không có trái dừa nào trong ảnh, chỉ có lá.",1,0.95,"Phiến lá dừa hiện rõ, nét, cho thấy rõ các đốm nâu, cháy lá và đổi màu, đủ để đánh giá bệnh trên lá.",0,0.02,"Không thấy thân hoặc gốc cây, ảnh chỉ tập trung vào các lá chét.",0,0.02,"Không thấy đỉnh đọt hoặc ngọn cây, chỉ có các lá chét cận cảnh.",0,0.1,"Ảnh chỉ cho thấy các lá chét (leaflets) chi tiết, không thấy cuống lá chính hay tư thế của toàn bộ tàu lá để đánh giá độ rủ."
GrayLeafSpot733,Gray Leaf Spot,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot733.jpg,True,,2306.3,109.8,768,0,0.02,"Không có trái dừa nào xuất hiện trong ảnh, chỉ có lá và lá chét.",1,0.95,"Ảnh chụp cận cảnh rõ nét tàu lá và lá chét, thấy rõ các đốm cháy/bệnh nâu đỏ trên phiến lá.",0,0.02,"Không thấy thân/gốc cây dừa trong ảnh, chỉ có lá.",0,0.03,"Không thấy đỉnh đọt/ngọn cây, ảnh chỉ tập trung vào một tàu lá.",-1,0.6,"Có thể thấy phần gốc cuống lá (sống lá) màu nâu đỏ ở giữa ảnh, đủ để nhận định phần nào về tình trạng cuống lá dù không thấy toàn bộ."
LeafRot001,Leaf Rot,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot001.jpg,True,,3221.1,90.2,768,0,0.05,"Không thấy trái dừa nào trong ảnh, chỉ có lá và cành.",1,0.75,"Nhiều tàu lá và phiến lá dừa hiện rõ, có thể quan sát mặt lá để đánh giá đốm/cháy lá.",0,0.05,"Không thấy thân hoặc gốc cây, ảnh chỉ chụp phần lá và ngọn.",0,0.2,"Không thấy rõ đỉnh đọt từ trên xuống, chỉ thấy các tàu lá xòe ra, khó xác định tình trạng đọt.",-1,0.6,"Có thể thấy phần cuống lá/sống lá của các tàu dừa vươn lên, đủ để nhận định tư thế và độ khỏe của cuống."
LeafRot110,Leaf Rot,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot110.jpg,True,,1095.7,117.1,768,0,0.03,"Không có trái dừa nào xuất hiện trong ảnh, chỉ có lá và tàu lá.",1,0.9,"Ảnh cận cảnh rõ nét toàn bộ tàu lá với các lá chét, cho thấy rõ tình trạng khô cháy, xoăn và đổi màu ở đầu lá.",0,0.02,"Không thấy thân hoặc gốc cây trong ảnh, chỉ có tàu lá.",0,0.05,"Không thấy đỉnh đọt/ngọn cây, ảnh chỉ tập trung vào một tàu lá.",0,0.15,"Không thấy rõ đoạn cuống lá (phần thân giữa của tàu lá), ảnh chủ yếu là các lá chét vươn ra."
