lf,image_id,task,vote,confidence,reason,source,path,pred,fold,original_id
lf1_maturity,010_jpg.rf.0bceb2935b70017af4f5c8f966af09ab,1_maturity_evaluation,1,0.8918628692626953,,coconut-veirf-v5/train,train/images/010_jpg.rf.0bceb2935b70017af4f5c8f966af09ab.jpg,dry,2,010
lf1_maturity,010_jpg.rf.438e09acddb8e73d2bbce4e8dbe080a3,1_maturity_evaluation,1,0.9035045504570007,,coconut-veirf-v5/train,train/images/010_jpg.rf.438e09acddb8e73d2bbce4e8dbe080a3.jpg,dry,2,010
lf1_maturity,010_jpg.rf.bc166106b70d5c7392f13edb897b33fe,1_maturity_evaluation,1,0.8947585225105286,,coconut-veirf-v5/train,train/images/010_jpg.rf.bc166106b70d5c7392f13edb897b33fe.jpg,dry,2,010
lf1_maturity,015_jpg.rf.0696ae9f97d9a7e8f642fd504e1dfccc,1_maturity_evaluation,0,0.962259829044342,,coconut-veirf-v5/train,train/images/015_jpg.rf.0696ae9f97d9a7e8f642fd504e1dfccc.jpg,green|tender,0,015
lf1_maturity,015_jpg.rf.cfbcf01b383875e14bf9c7bb8921fe08,1_maturity_evaluation,0,0.9327898621559143,,coconut-veirf-v5/train,train/images/015_jpg.rf.cfbcf01b383875e14bf9c7bb8921fe08.jpg,green|tender,0,015
lf1_maturity,015_jpg.rf.f0fe9af2487360f5ade10db38a21e87a,1_maturity_evaluation,0,0.963972806930542,,coconut-veirf-v5/train,train/images/015_jpg.rf.f0fe9af2487360f5ade10db38a21e87a.jpg,green|tender,0,015
lf1_maturity,016_jpg.rf.1c75e3c14cf0b3190250b33769414d95,1_maturity_evaluation,1,0.9413763284683228,,coconut-veirf-v5/train,train/images/016_jpg.rf.1c75e3c14cf0b3190250b33769414d95.jpg,dry,2,016
lf1_maturity,016_jpg.rf.c307f930336c424f57b36d40e9eb758a,1_maturity_evaluation,1,0.9443761110305786,,coconut-veirf-v5/train,train/images/016_jpg.rf.c307f930336c424f57b36d40e9eb758a.jpg,dry|green,2,016
lf1_maturity,016_jpg.rf.e7e5eb3b47416c3c4ee2fb3aafe53aca,1_maturity_evaluation,1,0.9300036430358887,,coconut-veirf-v5/train,train/images/016_jpg.rf.e7e5eb3b47416c3c4ee2fb3aafe53aca.jpg,dry|green,2,016
lf1_maturity,017_jpg.rf.56ee43ce0abdf695f5f4be4def2c97a1,1_maturity_evaluation,1,0.9347532987594604,,coconut-veirf-v5/train,train/images/017_jpg.rf.56ee43ce0abdf695f5f4be4def2c97a1.jpg,dry,3,017
lf1_maturity,017_jpg.rf.744a099317cd7c34727ec5f74e028f51,1_maturity_evaluation,1,0.9330196380615234,,coconut-veirf-v5/train,train/images/017_jpg.rf.744a099317cd7c34727ec5f74e028f51.jpg,dry,3,017
lf1_maturity,017_jpg.rf.d9a59ee6444d4cfbd3301079faa0dcc7,1_maturity_evaluation,1,0.9412745833396912,,coconut-veirf-v5/train,train/images/017_jpg.rf.d9a59ee6444d4cfbd3301079faa0dcc7.jpg,dry,3,017
lf1_maturity,01_jpg.rf.9a2fdd1fbadf3f0f94e9a35bf7f28f01,1_maturity_evaluation,0,0.8933948874473572,,coconut-veirf-v5/train,train/images/01_jpg.rf.9a2fdd1fbadf3f0f94e9a35bf7f28f01.jpg,dry|green,2,01
lf1_maturity,01_jpg.rf.ece606812fdb5842eb935687c6322fd3,1_maturity_evaluation,0,0.8714298009872437,,coconut-veirf-v5/train,train/images/01_jpg.rf.ece606812fdb5842eb935687c6322fd3.jpg,green,2,01
lf1_maturity,01_jpg.rf.fc88eede4194a104bda7f5c428b7c9b7,1_maturity_evaluation,0,0.8561456203460693,,coconut-veirf-v5/train,train/images/01_jpg.rf.fc88eede4194a104bda7f5c428b7c9b7.jpg,green,2,01
lf1_maturity,020_jpg.rf.934aab5db8374bbe99ef6fbc9604ff3d,1_maturity_evaluation,0,0.7474595308303833,,coconut-veirf-v5/train,train/images/020_jpg.rf.934aab5db8374bbe99ef6fbc9604ff3d.jpg,dry|green,4,020
lf1_maturity,020_jpg.rf.d679d9ac81c79060983caa8ad7e149c2,1_maturity_evaluation,0,0.84919673204422,,coconut-veirf-v5/train,train/images/020_jpg.rf.d679d9ac81c79060983caa8ad7e149c2.jpg,dry|green,4,020
lf1_maturity,020_jpg.rf.f5f0998289c04ba709de12e047444934,1_maturity_evaluation,0,0.8131855130195618,,coconut-veirf-v5/train,train/images/020_jpg.rf.f5f0998289c04ba709de12e047444934.jpg,dry|green,4,020
lf1_maturity,021_jpg.rf.24120bf2c217fad7ac3bcd9faaa6df6e,1_maturity_evaluation,1,0.7337641716003418,,coconut-veirf-v5/train,train/images/021_jpg.rf.24120bf2c217fad7ac3bcd9faaa6df6e.jpg,green,3,021
lf1_maturity,021_jpg.rf.baa2292357e865726965f74cdaf06646,1_maturity_evaluation,1,0.6370943188667297,,coconut-veirf-v5/train,train/images/021_jpg.rf.baa2292357e865726965f74cdaf06646.jpg,green,3,021
lf1_maturity,021_jpg.rf.da84d22087580791cf012fb2bf44cee3,1_maturity_evaluation,1,0.7325345873832703,,coconut-veirf-v5/train,train/images/021_jpg.rf.da84d22087580791cf012fb2bf44cee3.jpg,green,3,021
lf1_maturity,024_jpg.rf.3810930e4b3ba803033286768a43f116,1_maturity_evaluation,1,0.3140717148780823,,coconut-veirf-v5/train,train/images/024_jpg.rf.3810930e4b3ba803033286768a43f116.jpg,dry,4,024
lf1_maturity,024_jpg.rf.986e5416dcbe8f00c94be8fa6665f743,1_maturity_evaluation,1,0.3409196138381958,,coconut-veirf-v5/train,train/images/024_jpg.rf.986e5416dcbe8f00c94be8fa6665f743.jpg,dry,4,024
lf1_maturity,024_jpg.rf.bbb801416c7019f99906c3abac6ceef4,1_maturity_evaluation,1,0.3277071714401245,,coconut-veirf-v5/train,train/images/024_jpg.rf.bbb801416c7019f99906c3abac6ceef4.jpg,dry,4,024
lf1_maturity,025_jpg.rf.78b5ee68f7bd9dbc2da3c7294ad61e09,1_maturity_evaluation,0,0.9480042457580566,,coconut-veirf-v5/train,train/images/025_jpg.rf.78b5ee68f7bd9dbc2da3c7294ad61e09.jpg,dry|green|tender,0,025
lf1_maturity,025_jpg.rf.b5c41140981f89faa1897dab5da34de1,1_maturity_evaluation,0,0.9508979916572571,,coconut-veirf-v5/train,train/images/025_jpg.rf.b5c41140981f89faa1897dab5da34de1.jpg,dry|green|tender,0,025
lf1_maturity,025_jpg.rf.b99075fcfa02fb6351e9b101110571ab,1_maturity_evaluation,0,0.9480134844779968,,coconut-veirf-v5/train,train/images/025_jpg.rf.b99075fcfa02fb6351e9b101110571ab.jpg,dry|green|tender,0,025
lf1_maturity,028_jpg.rf.39a688f8e971db9974b4cf1fac321bbe,1_maturity_evaluation,1,0.8269973397254944,,coconut-veirf-v5/train,train/images/028_jpg.rf.39a688f8e971db9974b4cf1fac321bbe.jpg,dry,4,028
lf1_maturity,028_jpg.rf.81287a6187ed2da94ead99de11882007,1_maturity_evaluation,1,0.8372833728790283,,coconut-veirf-v5/train,train/images/028_jpg.rf.81287a6187ed2da94ead99de11882007.jpg,dry,4,028
