lf,image_id,task,vote,confidence,reason,source,path,pred_class,fold
lf3_trunk,StemBleeding004,3_trunk_disease,1,1.0,,coconut-tree-disease,Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding004.jpg,stembleed,0
lf3_trunk,StemBleeding006,3_trunk_disease,1,1.0,,coconut-tree-disease,Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding006.jpg,stembleed,0
lf3_trunk,StemBleeding008,3_trunk_disease,1,0.9999997615814208,,coconut-tree-disease,Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding008.jpg,stembleed,0
lf3_trunk,StemBleeding011,3_trunk_disease,1,0.9999995231628418,,coconut-tree-disease,Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding011.jpg,stembleed,0
lf3_trunk,StemBleeding013,3_trunk_disease,1,0.9999982118606568,,coconut-tree-disease,Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding013.jpg,stembleed,0
lf3_trunk,StemBleeding023,3_trunk_disease,1,0.9999982118606568,,coconut-tree-disease,Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding023.jpg,stembleed,0
lf3_trunk,StemBleeding024,3_trunk_disease,1,0.9999961853027344,,coconut-tree-disease,Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding024.jpg,stembleed,0
lf3_trunk,StemBleeding025,3_trunk_disease,1,0.9999959468841552,,coconut-tree-disease,Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding025.jpg,stembleed,0
lf3_trunk,StemBleeding038,3_trunk_disease,1,1.0,,coconut-tree-disease,Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding038.jpg,stembleed,0
lf3_trunk,StemBleeding042,3_trunk_disease,1,1.0,,coconut-tree-disease,Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding042.jpg,stembleed,0
lf3_trunk,StemBleeding045,3_trunk_disease,1,1.0,,coconut-tree-disease,Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding045.jpg,stembleed,0
lf3_trunk,StemBleeding047,3_trunk_disease,1,1.0,,coconut-tree-disease,Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding047.jpg,stembleed,0
lf3_trunk,StemBleeding049,3_trunk_disease,1,1.0,,coconut-tree-disease,Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding049.jpg,stembleed,0
